Feature0,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Feature27,Feature28,Feature29,Feature30,Feature31,Feature32,Feature33,Feature34,Feature35,Feature36,Feature37,Feature38,Label
-0.845833333,-0.550461942,1.199303076,2.956521739,0.206643638,-0.02505086,1.147826087,4.570833333,-0.981855046,0.33689538,0,4.1875,0.436852363,-0.926873279,3.9,6.970833333,0.671939413,-0.436246704,2.3,1.816666667,0,0,1.5,2.304166667,1.691840076,0.129699343,2.2,3.154166667,-0.52733222,0.289246136,0,4.633333333,0.103258557,-0.701069389,1.1,1.9625,0.684047422,-0.430826416,2,1.1
3.35,1.51302082,-1.501161256,5.608695652,1.976177989,0.129321272,0,8.295833333,-0.706873974,-0.260665013,0.6,5.379166667,0.538668467,-0.70212583,0.8,7.575,0.498915561,-0.496550595,0,4.354166667,0,0,0,7.029166667,2.095209811,-1.884272285,0,6.579166667,0.043561002,-0.688915461,0.8,5.320833333,0.363232941,-0.480942895,0,3.695833333,1.501982385,-0.330121404,0,0
3.1875,-0.196346844,6.844897851,8.775,-0.582061648,2.323781784,0,8.75,0.065610026,-1.403867774,0.3,7.504166667,1.163695936,0.1835134,0,9.404166667,0.869067851,-0.578299279,2.2,7.004166667,0.129080354,0.721144221,0,7.558333333,1.968465379,3.362993179,0,9.35,-0.544178675,0.707708887,0,8.308333333,0.309443334,-0.82053223,0.4,7.013043478,1.547039906,1.608851279,0,3.2
-2.220833333,-0.34468118,4.547404465,2.068181818,-0.038041513,0.048111973,0.327272727,1.483333333,0.088068351,-0.405785233,7.4,2.4875,0.565975346,-0.768577658,4.7,5.658333333,1.15501022,-0.639474976,0.2,0.808333333,0.033656313,0.030647288,10.2,-0.416666667,1.14665519,1.22054453,4.2,2.433333333,-0.469790994,0.003836402,1.2,2.770833333,0.092526974,-0.793449033,2.6,-0.491666667,0.489910584,-0.329321364,0.8,10.1
-6.395833333,-2.629369628,8.980832132,-2.425,-1.447876908,0.821310644,0,-1.834782609,-0.782055106,-0.105150477,11.37391304,-1.082608696,-0.286992143,0.060048899,3.026086957,1.195652174,0.816203479,-0.34555899,5.530434783,-4.304166667,-0.239406278,0.334156698,13.8,-2.182608696,3.557903926,3.089774648,6.782608696,-1.857142857,-1.326960274,0.597319,15.65714286,-0.943478261,-0.332940796,0.186758059,1.982608696,-2.956521739,-1.546699952,1.170519765,8.869565217,7.1
-0.991666667,-0.74394798,0.190051021,1.8125,-0.226189459,0.203725402,0,3.382608696,-0.815087301,1.041483937,5.32173913,2.27826087,-0.376995656,0.685788152,1.773913043,3.886363636,-0.213419706,-0.282115008,0.109090909,-1.234782609,-0.170010557,0.525972781,5.947826087,2.134782609,2.042535564,-0.826452547,2.92173913,2.9,-0.462762327,0.711695098,3.885714286,2.265217391,-0.29322098,0.449223869,1.669565217,1.47826087,-1.665778393,-0.46684631,0.939130435,0
5.841666667,-1.042183501,4.473315413,8.008333333,0.347528526,0.169289652,0,9.125,-0.579768655,0.340497842,0,8.458333333,-0.14091236,-0.333435135,0,8.258333333,0.008484369,-0.197571958,0,6.045833333,0.296189302,0.40819199,0,8.491666667,1.597858332,0.154209592,0,9.3875,-0.421709638,0.23943345,0,8.366666667,-0.227977696,-0.26101227,0,7.608333333,-0.275631978,-0.799473435,0,0
1.704347826,-0.553042597,5.636257969,6.895652174,-1.072231046,0.954729157,0,6.5125,-0.929235023,0.334946579,0,6.404166667,0.298263835,-0.86004281,0,7.725,-0.176601977,-0.1674807,0,4.3,0.033204283,0.47018095,0,4.566666667,0.686074853,1.489189585,0,7.108333333,-1.564503208,1.559604204,0,6.804166667,0.408379405,-1.086357847,0,5.565217391,0.8520824,1.276116393,0,0
1.629166667,-0.405947656,1.549063781,5.745833333,0.38820844,0.441311788,0,6.4625,-0.312066996,0.077358771,0,6.35,0.246598157,0.865252273,0,7.879166667,-0.225613974,-0.376454439,2.1,4.820833333,-0.082749566,0.109812383,0,5.695833333,1.600145698,-0.64907322,0,6.558333333,-0.10591143,0.11662037,0,6.391666667,0.921879547,-0.340924604,0,4.258333333,0.230724023,0.310020876,0,0.8
3.858333333,-1.541157668,2.533714191,8.729166667,0.731856744,0.441088679,0,9.829166667,-0.588557109,0.591240091,0,7.6625,0.266990772,0.993322935,0,9.629166667,-0.095217235,0.006283366,0,6.5125,-0.037052182,0.101800034,0,7.320833333,1.310658509,0.93302101,0,9.375,-0.347309778,0.315050108,0,8.441666667,0.503019705,-0.291570052,0,7.420833333,0.765067989,-0.066245323,0,0
0.845833333,0.796951753,-1.821428548,6.354166667,0.768767131,0.028175842,0.2,5.833333333,-0.704656216,1.078090678,6,5.213043478,0.386188904,-1.156476959,0.939130435,8.272222222,-0.676065398,0.175913772,0.133333333,4.283333333,0,0,0.4,5.734782609,1.519841059,-1.661922991,0,6.716666667,0.225948395,-0.367608173,0.6,5.743478261,-0.001570855,-0.478789876,2.92173913,5.147826087,0.805346326,-0.168379593,0.52173913,0.4
2.091666667,0.963548842,-3.124910873,5.8625,-0.407287584,-0.516009538,0,8.316666667,-0.334440791,0.768524965,0,5.058333333,-0.144971708,-0.244571117,1.6,7.28,0.366236056,-0.547716377,0,4.066666667,0,0,0,5.95,2.301734711,-3.879999796,0,5.7125,0.32637112,-0.356998679,0.1,4.691666667,-0.022498674,-0.662839373,5.1,4.216666667,-0.1767704,-1.627020756,0.1,0
