time,RPH_jy,year,month,day
2008/6/21,1,2008,6,21
2008/6/22,0,2008,6,22
2008/6/23,0,2008,6,23
2008/6/24,0,2008,6,24
2008/6/25,0,2008,6,25
2008/6/26,2.2,2008,6,26
2008/6/27,0,2008,6,27
2008/6/28,1.9,2008,6,28
2008/6/29,6.4,2008,6,29
2008/6/30,3.4,2008,6,30
2008/7/1,0,2008,7,1
2008/7/2,0,2008,7,2
2008/7/3,0,2008,7,3
2008/7/4,0.5,2008,7,4
2008/7/5,0,2008,7,5
2008/7/6,4.3,2008,7,6
2008/7/7,0,2008,7,7
2008/7/8,0,2008,7,8
2008/7/9,0,2008,7,9
2008/7/10,0,2008,7,10
2008/7/11,0,2008,7,11
2008/7/12,0,2008,7,12
2008/7/13,18.7,2008,7,13
2008/7/14,1.5,2008,7,14
2008/7/15,0,2008,7,15
2008/7/16,1.5,2008,7,16
2008/7/17,0,2008,7,17
2008/7/18,20.3,2008,7,18
2008/7/19,8,2008,7,19
2008/7/20,6.3,2008,7,20
2008/7/21,11.3,2008,7,21
2008/7/22,0,2008,7,22
2008/7/23,0,2008,7,23
2008/7/24,0,2008,7,24
2008/7/25,0,2008,7,25
2008/7/26,0,2008,7,26
2008/7/27,0,2008,7,27
2008/7/28,17.1,2008,7,28
2008/7/29,0.5,2008,7,29
2008/7/30,1.3,2008,7,30
2008/7/31,1.2,2008,7,31
2008/8/1,0,2008,8,1
2008/8/2,0,2008,8,2
2008/8/3,0,2008,8,3
2008/8/4,0,2008,8,4
2008/8/5,0,2008,8,5
2008/8/6,0.2,2008,8,6
2008/8/7,0.6,2008,8,7
2008/8/8,3.8,2008,8,8
2008/8/9,0,2008,8,9
2008/8/10,0,2008,8,10
2008/8/11,0,2008,8,11
2008/8/12,1.3,2008,8,12
2008/8/13,0,2008,8,13
2008/8/14,0,2008,8,14
2008/8/15,2.2,2008,8,15
2008/8/16,1.1,2008,8,16
2008/8/17,0,2008,8,17
2008/8/18,0,2008,8,18
2008/8/19,2.2,2008,8,19
2008/8/20,29.3,2008,8,20
2008/8/21,0,2008,8,21
2008/8/22,0,2008,8,22
2008/8/23,1.8,2008,8,23
2008/8/24,2.1,2008,8,24
2008/8/25,0,2008,8,25
2008/8/26,12.1,2008,8,26
2008/8/27,4.9,2008,8,27
2008/8/28,9.9,2008,8,28
2008/8/29,1.6,2008,8,29
2008/8/30,0,2008,8,30
2008/8/31,0,2008,8,31
2008/9/1,0,2008,9,1
2008/9/2,1,2008,9,2
2008/9/3,0,2008,9,3
2008/9/4,0,2008,9,4
2008/9/5,0,2008,9,5
2008/9/6,13,2008,9,6
2008/9/7,9.2,2008,9,7
2008/9/8,38.6,2008,9,8
2008/9/9,8.1,2008,9,9
2008/9/10,0,2008,9,10
2008/9/11,0,2008,9,11
2008/9/12,0,2008,9,12
2008/9/13,0,2008,9,13
2008/9/14,0.2,2008,9,14
2008/9/15,0,2008,9,15
2008/9/16,0,2008,9,16
2008/9/17,0,2008,9,17
2008/9/18,0,2008,9,18
2008/9/19,0.3,2008,9,19
2008/9/20,0.6,2008,9,20
2008/9/21,8.4,2008,9,21
2008/9/22,6.9,2008,9,22
2008/9/23,14.6,2008,9,23
2008/9/24,12.9,2008,9,24
2008/9/25,25.8,2008,9,25
2008/9/26,20.9,2008,9,26
2008/9/27,3.4,2008,9,27
2008/9/28,0,2008,9,28
2008/9/29,0,2008,9,29
2008/9/30,0,2008,9,30
2008/10/1,0,2008,10,1
2008/10/2,0,2008,10,2
2008/10/3,0,2008,10,3
2008/10/4,0,2008,10,4
2008/10/5,0,2008,10,5
2008/10/6,0,2008,10,6
