,Unnamed: 0,stationID,lon,lat,altitude,siteLevel,totalCloud,WD,WV,airPressure,Transformation_3h,pastWeather1,pastWeather2,rainfall_6h,lowCloudiness,lowCloudCover,lowCloudHigh,dewPoint,visibility,currentWeather,temperature,lowCloudiness.1,highCloudiness,flag1,flag2,temperatureChange_24h,transformer_24h,time,year,month,day,hour
33,33,52674.0,101.93,38.22,2094.0,16.0,9.0,270.0,1.0,9999.0,-5.0,7.0,4.0,0.0,9999.0,9999.0,9999.0,-17.6,2.5,70.0,-15.8,9999.0,9999.0,1.0,2.0,3.0,-3.0,2018-01-05 02:00,2018.0,1.0,5.0,2.0
34,34,52674.0,101.93,38.22,2094.0,16.0,9.0,250.0,2.0,9999.0,-12.0,7.0,0.0,0.0,9999.0,9999.0,9999.0,-16.2,6.0,70.0,-14.5,9999.0,9999.0,1.0,2.0,6.0,-3.0,2018-01-05 05:00,2018.0,1.0,5.0,5.0
35,35,52674.0,101.93,38.22,2094.0,16.0,8.0,250.0,3.0,9999.0,8.0,9999.0,9999.0,0.1,9999.0,8.0,1500.0,-15.3,6.0,70.0,-13.7,9999.0,9999.0,1.0,2.0,5.0,-2.0,2018-01-05 08:00,2018.0,1.0,5.0,8.0
36,36,52674.0,101.93,38.22,2094.0,16.0,7.0,90.0,1.0,9999.0,3.0,7.0,7.0,9999.0,9999.0,7.0,1500.0,-13.7,7.0,22.0,-12.2,9999.0,9999.0,1.0,2.0,9999.0,9999.0,2018-01-05 11:00,2018.0,1.0,5.0,11.0
37,37,52674.0,101.93,38.22,2094.0,16.0,7.0,90.0,2.0,9999.0,-17.0,7.0,0.0,0.0,9999.0,7.0,1500.0,-13.5,15.0,22.0,-9.5,9999.0,9999.0,1.0,2.0,-1.0,-1.0,2018-01-05 14:00,2018.0,1.0,5.0,14.0
38,38,52674.0,101.93,38.22,2094.0,16.0,7.0,90.0,3.0,9999.0,20.0,7.0,0.0,0.0,9999.0,7.0,1500.0,-14.0,9.0,22.0,-11.6,9999.0,9999.0,1.0,2.0,-2.0,0.0,2018-01-05 17:00,2018.0,1.0,5.0,17.0
39,39,52674.0,101.93,38.22,2094.0,16.0,8.0,290.0,6.0,9999.0,29.0,7.0,0.0,0.1,9999.0,8.0,1500.0,-16.7,30.0,22.0,-12.6,9999.0,9999.0,1.0,2.0,4.0,2.0,2018-01-05 20:00,2018.0,1.0,5.0,20.0
40,40,52674.0,101.93,38.22,2094.0,16.0,9.0,270.0,3.0,9999.0,12.0,0.0,0.0,9999.0,9999.0,9999.0,9999.0,-17.5,30.0,0.0,-13.3,9999.0,9999.0,1.0,2.0,9999.0,9999.0,2018-01-05 23:00,2018.0,1.0,5.0,23.0
41,41,52674.0,101.93,38.22,2094.0,16.0,9.0,290.0,2.0,9999.0,-10.0,0.0,0.0,0.0,9999.0,9999.0,9999.0,-18.4,30.0,0.0,-14.4,9999.0,9999.0,1.0,2.0,1.0,3.0,2018-01-06 02:00,2018.0,1.0,6.0,2.0
42,42,52674.0,101.93,38.22,2094.0,16.0,9.0,320.0,1.0,9999.0,2.0,0.0,0.0,0.0,9999.0,9999.0,9999.0,-16.7,6.0,0.0,-13.3,9999.0,9999.0,1.0,2.0,1.0,5.0,2018-01-06 05:00,2018.0,1.0,6.0,5.0
43,43,52674.0,101.93,38.22,2094.0,16.0,8.0,0.0,0.0,9999.0,15.0,9999.0,9999.0,0.9,9999.0,8.0,1500.0,-15.9,9999.0,70.0,-14.0,9999.0,9999.0,1.0,2.0,0.0,5.0,2018-01-06 08:00,2018.0,1.0,6.0,8.0
44,44,52674.0,101.93,38.22,2094.0,16.0,7.0,290.0,1.0,9999.0,8.0,7.0,0.0,9999.0,9999.0,7.0,1500.0,-17.1,30.0,0.0,-13.4,9999.0,9999.0,1.0,2.0,9999.0,9999.0,2018-01-06 11:00,2018.0,1.0,6.0,11.0
45,45,52674.0,101.93,38.22,2094.0,16.0,7.0,250.0,1.0,9999.0,-20.0,7.0,0.0,0.1,9999.0,7.0,1500.0,-15.5,30.0,0.0,-8.6,9999.0,9999.0,1.0,2.0,1.0,6.0,2018-01-06 14:00,2018.0,1.0,6.0,14.0
46,46,52674.0,101.93,38.22,2094.0,16.0,7.0,110.0,3.0,9999.0,10.0,7.0,0.0,9999.0,9999.0,7.0,1500.0,-14.8,3.8,71.0,-12.6,9999.0,9999.0,1.0,2.0,-1.0,5.0,2018-01-06 17:00,2018.0,1.0,6.0,17.0
47,47,52674.0,101.93,38.22,2094.0,16.0,7.0,220.0,1.0,9999.0,14.0,7.0,0.0,0.7,9999.0,7.0,1500.0,-18.1,8.0,70.0,-16.4,9999.0,9999.0,1.0,2.0,-4.0,3.0,2018-01-06 20:00,2018.0,1.0,6.0,20.0
48,48,52674.0,101.93,38.22,2094.0,16.0,9.0,220.0,4.0,9999.0,4.0,0.0,0.0,9999.0,9999.0,9999.0,9999.0,-19.5,30.0,0.0,-16.4,9999.0,9999.0,1.0,2.0,9999.0,9999.0,2018-01-06 23:00,2018.0,1.0,6.0,23.0
49,49,52674.0,101.93,38.22,2094.0,16.0,9.0,250.0,1.0,9999.0,-15.0,0.0,0.0,0.1,9999.0,9999.0,9999.0,-23.6,30.0,0.0,-19.4,9999.0,9999.0,1.0,2.0,-5.0,2.0,2018-01-07 02:00,2018.0,1.0,7.0,2.0
50,50,52674.0,101.93,38.22,2094.0,16.0,9.0,140.0,1.0,9999.0,-3.0,0.0,0.0,0.0,9999.0,9999.0,9999.0,-23.7,30.0,0.0,-19.2,9999.0,9999.0,1.0,2.0,-6.0,1.0,2018-01-07 05:00,2018.0,1.0,7.0,5.0
51,51,52674.0,101.93,38.22,2094.0,16.0,7.0,220.0,4.0,9999.0,12.0,0.0,0.0,9999.0,9999.0,7.0,1500.0,-23.7,30.0,0.0,-19.4,9999.0,9999.0,1.0,2.0,-5.0,1.0,2018-01-07 08:00,2018.0,1.0,7.0,8.0
52,52,52674.0,101.93,38.22,2094.0,16.0,7.0,290.0,5.0,9999.0,13.0,0.0,0.0,0.0,9999.0,7.0,1500.0,-20.8,30.0,0.0,-15.0,9999.0,9999.0,1.0,2.0,9999.0,9999.0,2018-01-07 11:00,2018.0,1.0,7.0,11.0
53,53,52674.0,101.93,38.22,2094.0,16.0,7.0,320.0,7.0,9999.0,-6.0,0.0,0.0,0.0,9999.0,7.0,1500.0,-19.1,30.0,0.0,-13.1,9999.0,9999.0,1.0,2.0,-5.0,3.0,2018-01-07 14:00,2018.0,1.0,7.0,14.0
54,54,52674.0,101.93,38.22,2094.0,16.0,7.0,290.0,7.0,9999.0,18.0,0.0,0.0,0.0,9999.0,7.0,1500.0,-20.6,30.0,0.0,-13.3,9999.0,9999.0,1.0,2.0,-1.0,4.0,2018-01-07 17:00,2018.0,1.0,7.0,17.0
55,55,52674.0,101.93,38.22,2094.0,16.0,7.0,270.0,14.0,9999.0,20.0,0.0,0.0,0.0,9999.0,7.0,1500.0,-24.3,22.0,0.0,-13.4,9999.0,9999.0,1.0,2.0,3.0,4.0,2018-01-07 20:00,2018.0,1.0,7.0,20.0
56,56,52674.0,101.93,38.22,2094.0,16.0,9.0,270.0,12.0,9999.0,5.0,0.0,0.0,0.0,9999.0,9999.0,9999.0,-25.3,30.0,0.0,-13.1,9999.0,9999.0,1.0,2.0,9999.0,9999.0,2018-01-07 23:00,2018.0,1.0,7.0,23.0
57,57,52674.0,101.93,38.22,2094.0,16.0,9.0,250.0,10.0,9999.0,-8.0,0.0,0.0,0.0,9999.0,9999.0,9999.0,-28.3,30.0,0.0,-11.8,9999.0,9999.0,1.0,2.0,8.0,5.0,2018-01-08 02:00,2018.0,1.0,8.0,2.0
58,58,52674.0,101.93,38.22,2094.0,16.0,9.0,250.0,7.0,9999.0,-10.0,0.0,0.0,0.0,9999.0,9999.0,9999.0,-26.5,30.0,0.0,-16.4,9999.0,9999.0,1.0,2.0,3.0,4.0,2018-01-08 05:00,2018.0,1.0,8.0,5.0
59,59,52674.0,101.93,38.22,2094.0,16.0,3.0,270.0,2.0,9999.0,1.0,0.0,0.0,0.0,9999.0,3.0,2500.0,-28.9,30.0,0.0,-17.8,9999.0,9999.0,1.0,2.0,2.0,3.0,2018-01-08 08:00,2018.0,1.0,8.0,8.0
60,60,52674.0,101.93,38.22,2094.0,16.0,0.0,290.0,5.0,9999.0,3.0,0.0,0.0,0.0,9999.0,0.0,9999.0,-22.7,30.0,0.0,-10.6,9999.0,9999.0,1.0,2.0,9999.0,9999.0,2018-01-08 11:00,2018.0,1.0,8.0,11.0
61,61,52674.0,101.96,38.23,1977.0,16.0,0.0,320.0,9.0,9999.0,-18.0,0.0,0.0,0.0,9999.0,0.0,9999.0,-29.0,30.0,0.0,-4.8,9999.0,9999.0,1.0,2.0,8.0,1.0,2018-01-08 14:00,2018.0,1.0,8.0,14.0
62,62,52674.0,101.93,38.22,2094.0,16.0,0.0,320.0,9.0,9999.0,12.0,0.0,0.0,0.0,9999.0,0.0,9999.0,-30.1,30.0,0.0,-6.2,9999.0,9999.0,1.0,2.0,7.0,1.0,2018-01-08 17:00,2018.0,1.0,8.0,17.0
63,63,52674.0,101.93,38.22,2094.0,16.0,0.0,270.0,4.0,9999.0,16.0,0.0,0.0,0.0,9999.0,0.0,9999.0,-27.2,30.0,0.0,-13.4,9999.0,9999.0,1.0,2.0,0.0,0.0,2018-01-08 20:00,2018.0,1.0,8.0,20.0
64,64,52674.0,101.93,38.22,2094.0,16.0,9.0,270.0,11.0,9999.0,-4.0,0.0,0.0,0.0,9999.0,9999.0,9999.0,-27.8,30.0,0.0,-9.0,9999.0,9999.0,1.0,2.0,9999.0,9999.0,2018-01-08 23:00,2018.0,1.0,8.0,23.0
65,65,52674.0,101.93,38.22,2094.0,16.0,9.0,250.0,8.0,9999.0,-6.0,0.0,0.0,0.0,9999.0,9999.0,9999.0,-27.4,30.0,0.0,-9.1,9999.0,9999.0,1.0,2.0,3.0,-1.0,2018-01-09 02:00,2018.0,1.0,9.0,2.0
66,66,52674.0,101.93,38.22,2094.0,16.0,9.0,250.0,13.0,9999.0,0.0,0.0,0.0,0.0,9999.0,9999.0,9999.0,-27.8,30.0,0.0,-8.3,9999.0,9999.0,1.0,2.0,8.0,0.0,2018-01-09 05:00,2018.0,1.0,9.0,5.0
67,67,52674.0,101.93,38.22,2094.0,16.0,7.0,270.0,7.0,9999.0,16.0,0.0,0.0,0.0,9999.0,7.0,1500.0,-25.4,30.0,0.0,-10.4,9999.0,9999.0,1.0,2.0,7.0,2.0,2018-01-09 08:00,2018.0,1.0,9.0,8.0
68,68,52674.0,101.93,38.22,2094.0,16.0,0.0,270.0,11.0,9999.0,8.0,0.0,0.0,0.0,9999.0,0.0,9999.0,-24.3,30.0,0.0,-6.1,9999.0,9999.0,1.0,2.0,9999.0,9999.0,2018-01-09 11:00,2018.0,1.0,9.0,11.0
69,69,52674.0,101.93,38.22,2094.0,16.0,0.0,290.0,14.0,9999.0,-9.0,0.0,0.0,0.0,9999.0,0.0,9999.0,-24.5,30.0,0.0,-3.6,9999.0,9999.0,1.0,2.0,1.0,3.0,2018-01-09 14:00,2018.0,1.0,9.0,14.0
70,70,52674.0,101.93,38.22,2094.0,16.0,0.0,290.0,9.0,9999.0,10.0,0.0,0.0,0.0,9999.0,0.0,9999.0,-24.4,30.0,0.0,-4.3,9999.0,9999.0,1.0,2.0,2.0,3.0,2018-01-09 17:00,2018.0,1.0,9.0,17.0
71,71,52674.0,101.93,38.22,2094.0,16.0,0.0,320.0,5.0,9999.0,17.0,0.0,0.0,0.0,9999.0,0.0,9999.0,-24.0,30.0,0.0,-9.7,9999.0,9999.0,1.0,2.0,4.0,3.0,2018-01-09 20:00,2018.0,1.0,9.0,20.0
72,72,52674.0,101.93,38.22,2094.0,16.0,9.0,270.0,5.0,9999.0,0.0,0.0,0.0,0.0,9999.0,9999.0,9999.0,-24.9,30.0,0.0,-11.2,9999.0,9999.0,1.0,2.0,9999.0,9999.0,2018-01-09 23:00,2018.0,1.0,9.0,23.0
