,Date,W1,W2,W3,W4
156,2019-10-04,0.0,547.8776223776224,,0.0
157,2019-10-05,0.0,471.1601398601399,,0.0
158,2019-10-06,0.0,725.2804195804196,,0.0
159,2019-10-07,0.0,597.0587412587413,,0.0
160,2019-10-08,0.0,405.2463363572924,,0.0
161,2019-10-09,0.0,404.3680614859095,,0.0
162,2019-10-10,0.0,769.25,,0.0
163,2019-10-11,0.0,810.0139275766016,,0.0
164,2019-10-12,0.0,698.9776847977685,,0.0
165,2019-10-13,0.0,721.7295597484276,,0.0
166,2019-10-14,0.0,426.6062717770035,,0.0
167,2019-10-15,0.0,638.7132564841498,,0.0
168,2019-10-16,0.0,813.2648497554158,,0.0
169,2019-10-17,0.0,804.1882267441861,,0.0
170,2019-10-18,0.0,935.9385045422781,,0.0
171,2019-10-19,0.0,539.5456445993032,,0.0
172,2019-10-20,0.0,566.2171787709498,,0.0
173,2019-10-21,0.0,465.3841847445766,,0.0
174,2019-10-22,0.0,753.1567944250871,,0.0
175,2019-10-23,0.0,394.1162952646239,220.1039325842697,0.0
176,2019-10-24,0.0,699.4038997214485,532.834547346514,0.0
177,2019-10-25,0.0,800.9149825783973,542.1886574074074,0.0
178,2019-10-26,0.0,869.1757322175732,457.3761261261261,0.0
179,2019-10-27,0.0,516.3170048985304,305.1402042711235,0.0
180,2019-10-28,0.0,1013.81577110956,554.6735751295337,0.0
181,2019-10-29,0.0,636.3600837404048,311.4043296089386,0.0
182,2019-10-30,0.0,672.1279720279721,237.2343876723439,0.0
183,2019-10-31,0.0,537.5895104895105,90.13338856669428,0.0
184,2019-11-01,0.0,583.0336134453781,263.4693685202639,0.0
185,2019-11-02,0.0,902.3340306834031,498.349806949807,0.0
186,2019-11-03,0.0,755.858543417367,411.5206270627063,0.0
187,2019-11-04,0.0,573.664095371669,173.0439189189189,0.0
188,2019-11-05,0.0,460.284717376134,311.8962264150944,0.0
189,2019-11-06,0.0,428.5566502463054,228.7046379170057,0.0
190,2019-11-07,0.0,428.3437935843793,155.6984615384615,0.0
191,2019-11-08,0.0,521.4068387997208,326.3974261922786,0.0
192,2019-11-09,0.0,685.0202655485674,104.8792184724689,0.0
193,2019-11-10,0.0,1006.205450733753,473.3210633946831,0.0
194,2019-11-11,0.0,573.608938547486,275.5389162561576,0.0
195,2019-11-12,0.0,507.5858938547486,254.9411764705882,0.0
196,2019-11-13,0.0,716.3656664340544,214.1581685744017,0.0
197,2019-11-14,0.0,667.3225579761069,433.028448275862,0.0
198,2019-11-15,0.0,593.4696441032798,357.8440445586975,0.0
199,2019-11-16,0.0,537.7613715885234,170.4068292682927,0.0
200,2019-11-17,0.0,497.2269553072626,153.080831408776,0.0
201,2019-11-18,0.0,825.4043296089385,462.9762787249815,0.0
202,2019-11-19,0.0,772.7658536585366,504.3906614785992,0.0
203,2019-11-20,0.0,719.3006351446718,315.2706065318818,0.0
204,2019-11-21,0.0,705.7172848145557,332.7660728117738,0.0
205,2019-11-22,0.0,810.4057262569833,350.6496722505462,0.0
206,2019-11-23,0.0,493.2140864714086,179.0858369098712,0.0
207,2019-11-24,0.0,471.0426573426573,281.9421965317919,0.0
208,2019-11-25,0.0,661.0738161559889,366.5918057663126,0.0
209,2019-11-26,0.0,900.6412587412588,352.2098421541318,0.0
210,2019-11-27,0.0,472.1695865451997,365.8779069767442,0.0
211,2019-11-28,0.0,657.0,343.5032310177706,0.0
212,2019-11-29,0.0,376.9034981905911,152.5615942028986,0.0
213,2019-11-30,,,,
214,2019-12-01,,,,
215,2019-12-02,,,,
216,2019-12-03,,,,
217,2019-12-04,,,,
218,2019-12-05,,,,
219,2019-12-06,,,,
220,2019-12-07,,,,
221,2019-12-08,,,,
222,2019-12-09,575.1500815660685,674.7410832232497,517.6363636363636,414.0045180722892
223,2019-12-10,931.5336640680368,1043.692522711391,557.8469505178366,739.4743816254417
224,2019-12-11,950.5330549756437,1086.819277108434,423.3752688172043,717.6607744107744
225,2019-12-12,875.2578616352201,897.0802556818181,541.0236280487804,722.2848432055749
226,2019-12-13,645.945530726257,974.2613875262789,297.937962962963,920.9126305792972
227,2019-12-14,929.6459802538787,1163.440167949615,431.9693788276466,715.901549680948
228,2019-12-15,702.8974895397489,725.880669923238,433.1607476635514,577.6986940298508
229,2019-12-16,559.990953375087,701.4644846796657,408.2086889061288,499.2473222979552
230,2019-12-17,358.1645658263305,572.7153846153847,150.3515228426396,308.3347547974413
231,2019-12-18,957.0649441340782,814.2672714584787,397.6937086092715,625.3598326359833
232,2019-12-19,938.5289602233078,952.5517482517482,484.4517583408476,764.4826472962067
233,2019-12-20,797.4539748953974,943.9128919860627,514.7825679475164,748.080035180299
234,2019-12-21,817.9979094076655,858.8228652081863,331.8691883372734,745.426640926641
235,2019-12-22,782.0006988120196,1207.915502793296,468.9594272076372,608.9101964452759
236,2019-12-23,883.3075852470424,909.0515320334262,471.48369132856,538.3211091234347
237,2019-12-24,859.7741935483871,894.9601119664101,353.8849171752398,839.6988372093023
238,2019-12-25,279.3676248108926,421.1506276150628,161.2955508474576,378.1380753138075
239,2019-12-26,1125.801305293691,1003.155617585485,700.5146379044684,742.3257506824385
240,2019-12-27,1043.934645115952,1064.290231904427,618.4619565217391,739.3864118895966
241,2019-12-28,646.2870639534884,621.910676901605,292.6362694300518,427.3368513632366
242,2019-12-29,733.9468902865129,914.8034843205575,486.2822641509434,686.892539964476
243,2019-12-30,792.8432355046529,961.6861517049408,375.9207317073171,954.6036217303823
244,2019-12-31,839.4548635409377,1076.652204338698,547.4229576008273,767.8467583497053
245,2020-01-01,440.5233449477352,967.5108013937282,362.5696068012753,834.9357429718875
246,2020-01-02,474.615331010453,664.1547038327526,349.3491599707816,562.54770755886
247,2020-01-03,1199.842068483578,1195.02374301676,408.6923076923077,864.4547413793103
248,2020-01-04,178.6727145847872,849.9009071877181,108.9396771452846,642.0719602977667
249,2020-01-05,51.78427279053584,462.2116991643454,290.5275938189845,298.9781461944235
250,2020-01-06,635.8503827418233,594.0521920668059,575.3039215686274,403.1259640102828
251,2020-01-07,857.229268292683,778.0962343096235,556.8444130127299,500.7760368663594
252,2020-01-08,679.6703988803359,832.8391608391609,270.1365159128978,790.3535211267606
253,2020-01-09,357.0076655052265,532.8271777003484,97.49840255591054,193.5992277992278
254,2020-01-10,421.4457579972184,490.0528511821975,195.9157427937916,278.0760233918128
255,2020-01-11,720.4777468706537,901.3504867872044,354.7174694464414,436.4888888888889
256,2020-01-12,522.6416144745998,633.1315240083508,444.6389976507439,434.5
257,2020-01-13,735.6643405443126,637.3921842288904,447.3636363636364,521.514963880289
258,2020-01-14,806.0362116991644,820.423693379791,598.8549955791335,663.9063670411985
259,2020-01-15,350.0383810188416,397.7997208653175,316.0917135961384,184.2013274336283
260,2020-01-16,677.452380952381,731.2577030812325,406.2503660322108,473.1002811621368
261,2020-01-17,852.5121951219512,901.0961002785515,427.1324362606233,913.713747645951
262,2020-01-18,298.1723656664341,494.1200279134682,257.442396313364,355.5694779116466
263,2020-01-19,798.6311760612386,734.5727209464161,462.1841070023603,510.8989898989899
264,2020-01-20,529.6912378303199,568.5897079276773,430.4615384615385,444.6574172892209
265,2020-01-21,950.4084507042254,972.8043631245602,571.3767123287671,744.8884297520661
266,2020-01-22,683.7829457364342,729.2489421720734,407.8509532062392,539.8452685421995
267,2020-01-23,509.3973556019485,857.7174669450244,215.7278782112274,732.90675547098
268,2020-01-24,577.1322199025748,761.3938761308281,358.638166047088,362.3617021276596
269,2020-01-25,503.2456506610995,665.2887961029924,250.4962797619048,566.0129589632829
270,2020-01-26,639.8639887244539,755.5741127348643,434.0445283018868,528.8679833679834
271,2020-01-27,504.3831710709318,900.1502086230877,429.2985074626866,528.2566633761105
272,2020-01-28,726.4156976744187,981.5681341719078,489.6224237427865,679.7164319248826
273,2020-01-29,766.4951253481894,1073.924094707521,618.5226860254083,569.7352362204724
274,2020-01-30,781.4147529575505,975.804453723034,435.8964059196617,921.3859060402684
275,2020-01-31,495.9637883008356,833.5954038997214,266.0172661870504,688.0093545369505
276,2020-02-01,279.9672701949861,528.7597493036212,189.8145219266715,297.4448025785657
277,2020-02-02,775.3420126671358,908.5069735006973,471.8932309839498,642.6421725239617
278,2020-02-03,887.7183908045977,845.4030683403068,426.3053221288515,510.0124902419984
279,2020-02-04,851.1381716678297,963.5589672016748,124.9555555555555,759.353591160221
280,2020-02-05,479.547419804742,727.8040446304045,335.4822299651568,534.9548133595285
281,2020-02-06,784.1489213639527,881.2129436325679,452.0862908837856,639.4484702093398
282,2020-02-07,482.8175487465181,544.674791086351,332.5870473537605,438.2780952380953
283,2020-02-08,453.1149025069638,635.483983286908,329.2677824267782,443.1085494716619
284,2020-02-09,680.6917712691771,767.2635983263598,328.2135380321005,634.4986376021799
285,2020-02-10,703.3312456506611,767.2032011134307,342.526791927627,579.066371681416
286,2020-02-11,847.1228192602931,972.9365411436542,483.7175732217573,562.6210970464135
287,2020-02-12,774.5188284518829,844.016748080949,497.3870481927711,497.143583227446
288,2020-02-13,236.9212543554007,496.2068245125348,238.4446808510638,299.4074074074074
289,2020-02-14,109.3670621074669,467.8480836236934,208.8018942383583,207.7076064200977
290,2020-02-15,480.7682672233821,816.4961725817676,449.7217607973422,537.6752529898804
291,2020-02-16,960.8430656934306,1186.338664812239,519.7511773940346,918.4027916251247
292,2020-02-17,750.6273551988835,910.8595387840671,445.1304347826087,740.710447761194
293,2020-02-18,426.1832752613241,570.1721254355401,398.1123188405797,382.1393534002229
294,2020-02-19,676.4334494773519,740.381450488145,426.8294898672257,629.9538729329852
295,2020-02-20,498.3614794138172,741.8325191905094,327.2323151125402,432.0827653359299
296,2020-02-21,867.8637747336378,936.9686411149826,357.9212996389892,632.1622481442206
297,2020-02-22,781.2726008344923,902.9680111265646,483.9011345218801,736.3744531933509
298,2020-02-23,608.4379358437936,765.2608089260809,391.7018284106892,525.7960199004975
299,2020-02-24,311.3289290681502,476.3435326842837,272.0861801242236,325.1304347826087
300,2020-02-25,513.4718162839248,766.2569637883008,305.5975708502024,456.1225490196078
301,2020-02-26,265.2999304105776,667.2574808629089,108.5732064421669,337.8184568835098
302,2020-02-27,477.2614742698192,666.7183588317107,303.179523141655,369.6255924170616
303,2020-02-28,595.8133704735376,657.6627177700349,413.012543554007,315.6580645161291
304,2020-02-29,279.3823743627094,337.981881533101,111.9908256880734,206.0278207109737
305,2020-03-01,603.3409881697982,676.9032707028532,207.0022641509434,546.2493551160791
306,2020-03-02,193.319071791153,557.7574912891986,232.2936046511628,414.0793157076205
307,2020-03-03,643.4637883008356,684.6096033402923,415.0306834030683,435.943
308,2020-03-04,870.1358885017422,914.604181184669,423.9849570200573,589.0564635958395
309,2020-03-05,732.4603064066853,932.8487804878049,525.8971471471472,414.5067024128686
310,2020-03-06,412.0118466898955,553.839609483961,256.0556844547564,341.9135667396062
311,2020-03-07,378.0536211699164,626.5114982578398,305.7932067932068,467.3287153652393
312,2020-03-08,16.1348623853211,243.7813357731015,137.2489146164978,92.75963718820861
