time,RPH,RPH_ld,RPH_jy,,,time,RPH,RPH_ld,RPH_jy,,,time,RPH,RPH_ld,RPH_jy,,time,RPH,RPH_ld,RPH_jy,,,,,,,,,,,,,,,
2020/11/14,0,0,0,,,2019/11/14,0,0,0,,,2018/11/14,1.9,1.1,1,,2014/11/14,1.1,0.8,1.8,,2015/11/14,0,0,0,,2016/11/14,0,0,0,,2017/11/14,0,0,0
2020/11/15,0,0,0,,,2019/11/15,0,0,0,,,2018/11/15,3.5,1.8,4.6,,2014/11/15,0,0,0,,2015/11/15,0,0,0,,2016/11/15,0,0,0,,2017/11/15,0,0,0
2020/11/16,0.7,0.3,2.6,,,2019/11/16,0,0,0,,,2018/11/16,7.7,4.8,8.7,,2014/11/16,0,0,0,,2015/11/16,0.6,0.3,0.1,,2016/11/16,0,0,0,,2017/11/16,0,0.1,0
2020/11/17,1.4,0.6,3.5,,,2019/11/17,1.5,1,1.1,,,2018/11/17,0,0,0,,2014/11/17,0,0,0,,2015/11/17,7.9,4.9,1.9,,2016/11/17,0,0,0,,2017/11/17,0,0,0
2020/11/18,0,0,0,,,2019/11/18,0,0,0,,,2018/11/18,0,0,0,,2014/11/18,0,0,0,,2015/11/18,0,0,0,,2016/11/18,0,0,0,,2017/11/18,0.7,0.2,1.5
2020/11/19,0,0,0,,,2019/11/19,2,1.6,0.1,,,2018/11/19,0,0,0,,2014/11/19,0,0,0,,2015/11/19,0,0,0,,2016/11/19,0,0,0,,2017/11/19,0,0,0.1
2020/11/20,7.3,4.8,4.1,,,2019/11/20,1.9,1.5,1.5,,,2018/11/20,0,0,0,,2014/11/20,0,0,0,,2015/11/20,0,0,0,,2016/11/20,0,0,0,,2017/11/20,0,0,0
2020/11/21,0.3,0,0,,,2019/11/21,0,0,0,,,2018/11/21,0,0,0,,2014/11/21,0,0,0,,2015/11/21,0,0,0,,2016/11/21,1.1,0.1,0.8,,2017/11/21,0,0,0
2020/11/22,2.4,1.9,2,,,2019/11/22,0,0,0,,,2018/11/22,0,0,0,,2014/11/22,3.1,2.1,1.5,,2015/11/22,0.5,0,3.4,,2016/11/22,0,0,0,,2017/11/22,0,0,0
2020/11/23,0,0,1.9,,,2019/11/23,3.3,1.3,1.7,,,2018/11/23,0,0,0,,2014/11/23,0.5,0,1.1,,2015/11/23,4.9,0.8,6.5,,2016/11/23,0,0,0,,2017/11/23,0,0,0
2020/11/24,0,0,0.4,,,2019/11/24,0,0,0,,,2018/11/24,0,0,0,,2014/11/24,2.2,1,1.9,,2015/11/24,0,0,0,,2016/11/24,0,0,0,,2017/11/24,0,0,0
2020/11/25,0,0,0,,,2019/11/25,0,0,0,,,2018/11/25,0,0,0,,2014/11/25,0,0,0,,2015/11/25,0,0,0,,2016/11/25,0,0,0,,2017/11/25,0,0,0
2020/11/26,0,0,0,,,2019/11/26,0,0,0,,,2018/11/26,0,0,0,,2014/11/26,0,0,0,,2015/11/26,0,0,0,,2016/11/26,0,0,0,,2017/11/26,0,0,0
2020/11/27,2,2,2.8,,,2019/11/27,0,0,0,,,2018/11/27,0,0,0,,2014/11/27,3.2,1.6,1.3,,2015/11/27,0,0,0,,2016/11/27,0,0,0,,2017/11/27,0,0,0
