time,P,T,RH,RPH,WD,WV,year,month,day
2015-09-04,725.8125,12.108333333333334,62,0.0,169,4.258333333333333,2015,09,04
2015-09-05,725.9625,11.5625,55,0.0,197,6.091666666666666,2015,09,05
2015-09-06,725.0583333333334,11.716666666666667,70,0.0,103,5.258333333333334,2015,09,06
2015-09-07,723.4708333333334,9.704166666666667,93,5.700000000000001,163,5.583333333333332,2015,09,07
2015-09-08,725.0666666666667,7.645833333333335,98,9.1,92,5.7375000000000025,2015,09,08
2015-09-09,727.5416666666669,7.333333333333332,99,3.2000000000000006,84,4.491666666666668,2015,09,09
2015-09-10,728.2958333333335,5.191666666666666,90,10.8,232,6.529166666666668,2015,09,10
2015-09-11,730.2416666666667,4.270833333333333,71,0.0,315,6.525,2015,09,11
2015-09-12,728.7000000000003,6.270833333333332,65,0.0,153,4.070833333333334,2015,09,12
2015-09-13,725.9541666666668,6.095833333333332,85,0.7,189,4.625,2015,09,13
2015-09-14,724.7541666666666,7.6416666666666675,83,0.0,225,7.099999999999999,2015,09,14
2015-09-15,724.9833333333335,8.291666666666666,91,0.0,186,6.7375,2015,09,15
2015-09-16,725.3624999999997,6.566666666666666,98,23.0,193,4.079166666666667,2015,09,16
2015-09-17,727.5166666666669,6.533333333333335,95,0.1,49,4.654166666666666,2015,09,17
2015-09-18,727.5083333333333,6.9375,90,0.0,118,4.191666666666666,2015,09,18
2015-09-19,725.4541666666668,7.633333333333334,91,0.1,204,5.758333333333334,2015,09,19
2015-09-20,721.5833333333335,7.9541666666666675,89,0.30000000000000004,196,7.804166666666667,2015,09,20
2015-09-21,721.0499999999997,5.45,98,9.0,236,6.304166666666666,2015,09,21
2015-09-22,722.9791666666665,5.870833333333335,74,0.0,242,4.3375,2015,09,22
2015-09-23,721.1625,4.2125,85,6.299999999999999,163,5.083333333333333,2015,09,23
2015-09-24,722.5000000000001,5.916666666666668,82,0.0,47,7.0125,2015,09,24
2015-09-25,722.6375000000003,6.195833333333333,84,0.0,193,5.129166666666666,2015,09,25
2015-09-26,723.2666666666668,7.462499999999999,82,0.0,172,3.3875000000000006,2015,09,26
2015-09-27,723.6291666666667,6.9875000000000025,97,7.6,172,2.5125,2015,09,27
2015-09-28,724.3166666666666,7.337500000000001,98,3.3,162,6.887500000000002,2015,09,28
2015-09-29,725.8083333333333,7.8916666666666675,99,2.4,220,5.441666666666666,2015,09,29
2015-09-30,728.9250000000003,-0.6541666666666666,76,4.9,272,10.425,2015,09,30
2015-10-01,727.4291666666667,4.929166666666666,32,0.0,249,7.279166666666665,2015,10,01
2015-10-02,726.7125000000003,6.5,41,0.0,113,4.566666666666666,2015,10,02
2015-10-03,728.8041666666667,5.6125000000000025,41,0.0,122,2.708333333333333,2015,10,03
2015-10-04,729.7958333333331,7.974999999999999,60,0.0,166,2.0708333333333333,2015,10,04
2015-10-05,726.1083333333335,7.3583333333333325,72,0.1,151,6.2,2015,10,05
2015-10-06,726.0541666666667,6.070833333333334,80,2.8000000000000003,147,7.216666666666668,2015,10,06
2015-10-07,728.2458333333334,5.9,58,3.1,45,7.3291666666666675,2015,10,07
2015-10-08,727.9250000000003,0.1083333333333334,89,6.0,242,5.841666666666666,2015,10,08
2015-10-09,725.7000000000003,2.7583333333333333,34,0.0,306,7.2041666666666675,2015,10,09
2015-10-10,728.2291666666665,2.583333333333333,25,0.0,217,5.258333333333334,2015,10,10
2015-10-11,728.7250000000003,3.604166666666666,45,0.0,172,4.3,2015,10,11
2015-10-12,726.7625000000003,4.304166666666667,78,0.0,191,5.929166666666666,2015,10,12
2015-10-13,726.8833333333333,4.504166666666668,87,1.1,215,7.0458333333333325,2015,10,13
2015-10-14,727.5916666666666,6.650000000000001,57,0.0,222,5.208333333333334,2015,10,14
2015-10-15,725.7624999999997,9.025,50,0.0,224,8.025,2015,10,15
2015-10-16,726.6333333333333,6.1125000000000025,76,0.0,173,4.633333333333332,2015,10,16
2015-10-17,728.6958333333333,6.3291666666666675,42,0.1,105,4.75,2015,10,17
2015-10-18,726.8833333333336,7.754166666666667,48,0.0,232,4.6,2015,10,18
2015-10-19,723.2916666666665,9.512499999999998,33,0.0,216,7.6374999999999975,2015,10,19
2015-10-20,721.5416666666665,8.35,67,0.0,201,5.5875,2015,10,20
2015-10-21,723.7208333333334,1.2708333333333333,93,6.7,96,4.445833333333333,2015,10,21
2015-10-22,723.7499999999999,1.6375,98,3.9,226,5.9875000000000025,2015,10,22
2015-10-23,722.9416666666667,3.987499999999999,99,9.499999999999998,154,4.941666666666666,2015,10,23
2015-10-24,722.8166666666666,3.3041666666666667,99,1.3000000000000005,124,4.533333333333334,2015,10,24
2015-10-25,724.8000000000003,-0.9041666666666665,94,6.5,197,7.350000000000001,2015,10,25
2015-10-26,725.9750000000003,-3.208333333333334,50,0.0,283,8.341666666666665,2015,10,26
2015-10-27,723.6291666666666,1.6750000000000005,41,0.0,167,3.816666666666667,2015,10,27
2015-10-28,724.4708333333333,0.4458333333333331,50,0.0,107,3.745833333333332,2015,10,28
2015-10-29,727.0291666666667,-1.2583333333333335,59,0.0,93,4.445833333333335,2015,10,29
2015-10-30,727.8333333333335,-5.4833333333333325,91,2.2000000000000006,117,3.5000000000000004,2015,10,30
2015-10-31,728.0999999999997,-6.120833333333334,73,0.1,289,7.241666666666667,2015,10,31
2015-11-01,725.3875000000003,1.3291666666666666,39,0.0,243,9.145833333333332,2015,11,01
2015-11-02,720.3791666666666,3.1125000000000003,70,1.5,213,8.899999999999997,2015,11,02
2015-11-03,722.8208333333333,-0.16666666666666666,97,0.7000000000000001,183,4.9750000000000005,2015,11,03
2015-11-04,721.6125000000003,-0.6291666666666668,96,2.400000000000001,141,3.975,2015,11,04
2015-11-05,717.8541666666665,0.8916666666666669,98,5.6000000000000005,167,6.654166666666666,2015,11,05
2015-11-06,720.7791666666664,-1.9541666666666668,97,2.3,176,4.4833333333333325,2015,11,06
2015-11-07,723.0500000000003,-4.566666666666666,93,1.2999999999999998,267,3.833333333333334,2015,11,07
2015-11-08,724.7541666666666,0.43333333333333335,63,0.0,244,5.058333333333334,2015,11,08
2015-11-09,723.9333333333334,-0.09166666666666667,83,0.0,150,3.083333333333333,2015,11,09
2015-11-10,722.7958333333332,-0.5666666666666668,93,0.0,177,2.8541666666666665,2015,11,10
2015-11-11,723.3125,-0.9708333333333332,98,3.9,161,3.020833333333333,2015,11,11
2015-11-12,721.4541666666669,-2.0416666666666665,95,0.1,238,6.529166666666668,2015,11,12
2015-11-13,718.5041666666666,0.6625000000000002,69,0.0,228,9.945833333333333,2015,11,13
2015-11-14,718.6291666666666,-1.625,84,0.0,165,6.691666666666666,2015,11,14
